2090816,9299635,1098709,336831,659480,233457,2629242,3590558,3875396,1791782,1214233,134760,3406570,1376990,19887708,202611,10719798,3867613,4525597,25621643,151946,47309006,2467115,939829,2988624
2257705,9363264,1014429,303818,584480,207532,2500823,3483917,3662807,1952199,1281188,158115,3463744,1361805,20347168,230294,10877491,3956593,4438456,25735802,179521,47581580,2453597,836477,2870981
2072698,9014142,1045633,294925,665547,247656,2701603,3418687,3666024,1683288,1206074,135524,3222018,1404694,20314390,194953,11155082,4060531,4714851,25302274,164072,46806238,2439122,860408,2817307
2109665,9285415,1064277,284864,627280,208063,2499253,3429344,3683077,1684387,1232100,151181,3302813,1345985,20213960,216969,10675652,3865184,4331784,25891764,155875,46079439,2410191,833877,2842519
2106864,8996959,1015553,292466,601496,205260,2473423,3309227,3625844,1745051,1229598,136492,3323011,1366484,20044258,231097,10571137,3798164,4206005,25363155,152668,47204590,2547814,887653,2909442
2152590,9284490,1035465,342553,613042,205582,2602132,3453099,3803771,1728254,1327471,148437,3349474,1384694,19831577,227731,11130062,3914345,4315767,25342883,153766,46435986,2481772,837271,3010070
2320332,9580102,1078421,316879,592516,216644,2664763,3562089,3766129,1716965,1303510,136950,3391965,1448816,19974914,201634,10884172,3936299,4407785,24441540,152672,47212018,2577642,870708,3047652
2184536,9067079,1032972,292867,590061,201690,2538381,3420818,3897415,1710964,1256890,148616,3344666,1410033,20094380,208256,11082063,4158460,4420143,26005764,151433,47719699,2579170,924293,2927370
2267504,9465038,1059132,293860,607619,210284,2589157,3461533,3754424,1770084,1431098,136188,3335922,1406012,20288858,223037,11238585,3905205,4391763,24896932,152299,47982967,2480017,908454,3136150
2118731,9017243,1015598,297096,585334,212795,2465255,3341229,3643657,1662287,1255487,140183,3222810,1343861,19975978,203711,10511906,3833536,5038904,25069396,170026,46915706,2481981,859501,2872225
