6139308,21488829,863543,417527,870968,419619,828107,11375495,6307155,832068,453270,634473,4076333,3048542,12671794,2710587,8125847,1218805,3050786,3012434,230836,62534805,4127443,1735439,5762743
5838917,21849665,953267,435900,871844,395452,771304,11055557,5861123,743808,432371,535649,3827495,3099351,12388871,2517191,7430997,1111408,2989806,2951647,226227,62332002,4007499,1682002,5764694
5824733,22610438,876665,423565,900618,414766,799688,11297191,6357420,775583,435917,540836,3934756,3486333,12622790,2656954,7939992,1272936,3179717,3069016,248752,62871761,4061214,1686672,6056972
5963221,20678152,860285,411882,876771,396698,802806,11220839,6082160,788338,433788,544578,3874251,2967928,12632940,2639312,7463105,1122221,2981605,3088830,220296,62551537,3929996,1644687,6314205
6047497,21644011,843869,415240,884405,390001,789392,11999244,6256533,807715,489714,626000,3981550,2958278,12485376,2684298,7977444,1127738,2975139,2949263,225810,63707965,4067377,1629612,5786866
6373228,21811248,906030,418891,877398,397408,779833,11418055,6304249,758403,436466,575528,4022587,2975358,12534270,2550284,7534783,1130309,3117992,3062658,221744,63502805,4102527,1781844,6082544
6379380,21876790,867894,429224,894265,392997,787224,11216128,6434669,782156,451564,547718,3999960,3110085,12597546,2514266,7934527,1139419,3133735,3219642,230581,63837032,3971015,1649041,5751399
5766488,20442056,890152,415821,862692,396922,777800,11130660,5999406,754549,424369,536293,3798795,2886232,13289373,2525909,7488606,1125028,2968067,2989418,233192,64571114,4076400,1659195,6036043
6113305,21176038,863728,430691,994815,444030,792055,11114104,5828686,763667,426230,538214,3817805,2884990,12011693,2476682,7456265,1116657,2948035,2924512,223672,61597192,3876465,1611507,5937227
5881695,21028802,848871,415064,863003,399049,765122,11021138,6468681,767361,497686,551545,4091039,2991835,12784821,2548619,7882375,1189494,3130574,3079576,225458,63711922,3890263,1644747,6006886
